I_leakage test through a SiC Mosfets gate.
Applied voltage: 35(V).
Experiment date: 2023-07-20 13:03:56.894878
Number of DUTS: 2.
TAmb: 25 celsius.
Voltmeter model: DAQ6510_1.
Multiplexer Card model: K7700_4.
Source Meter model: K2400_4.
First channel: 101.
******************************
index,i@dut1(Amps),i@dut2(Amps)
1,1.8580117113713639e-06,3.7283922720596538e+34
2,1.8579761994710994e-06,3.7283922720596538e+34
3,1.8580759350207782e-06,3.7283922720596538e+34
4,1.8580374008311297e-06,3.7283922720596538e+34
5,1.8579678881752926e-06,3.7283922720596538e+34
6,1.857898753305629e-06,3.7283922720596538e+34
7,1.8578545523233848e-06,3.7283922720596538e+34
8,1.8578575746127691e-06,3.7283922720596538e+34
9,1.857941065357008e-06,3.7283922720596538e+34
10,1.8579040423120515e-06,3.7283922720596538e+34
11,1.858030600680015e-06,3.7283922720596538e+34
12,1.858044200982244e-06,3.7283922720596538e+34
13,1.8580234227427277e-06,3.7283922720596538e+34
14,1.8581254250094445e-06,3.7283922720596538e+34
15,1.8581598035511902e-06,3.7283922720596538e+34
16,1.8582791839818662e-06,3.7283922720596538e+34
17,1.8581707593502076e-06,3.7283922720596538e+34
18,1.8581084246316584e-06,3.7283922720596538e+34
19,1.8580328673970534e-06,3.7283922720596538e+34
20,1.858041556479033e-06,3.7283922720596538e+34
21,1.8579527767283717e-06,3.7283922720596538e+34
22,1.8578696637703062e-06,3.7283922720596538e+34
23,1.8579474877219495e-06,3.7283922720596538e+34
24,1.857102002266717e-06,3.7283922720596538e+34
25,1.8583146958821305e-06,3.7283922720596538e+34
26,1.8577729505100112e-06,3.7283922720596538e+34
